date,screen_time_min,unlock_count,app_usage_var,distinct_locations,steps,sleep_hours,calls_made,calls_missed,social_media_min,work_related_min,avg_heart_rate,mood_score
12-07-2025,274.8357077,70.41651524,1.237309584,5,5247.534197,6.077299483,14,0,50.39300379,120.8564372,67.61051953,1
13-07-2025,243.0867849,76.28682047,0.727183764,4,3716.106623,10,2,0,144.943763,210.2427909,60.92436338,1
14-07-2025,282.3844269,57.87330052,1.420838293,5,4940.545787,8.030272769,12,5,125.3832036,148.1845429,64.23228669,1
15-07-2025,326.1514928,56.07586752,0.579444681,3,4198.005887,7.106458623,11,6,75.92473044,132.4276301,77.55391226,2
16-07-2025,238.2923313,96.25051645,1.176057128,4,2317.255243,7.65899071,5,6,38.60596413,173.5781784,75.00917188,5
17-07-2025,238.2931522,107.1248006,1.657136688,3,5535.956813,6.837253167,6,0,130.6161712,117.8854607,60.22444755,3
18-07-2025,328.9606408,78.55979757,0.702839102,1,4378.202292,6.270350851,10,4,86.56380464,146.7810417,70.99332305,3
19-07-2025,288.3717365,100.070658,0.830110681,1,5120.298069,7.311397392,9,5,127.1344894,108.1273264,77.51387123,3
20-07-2025,226.5262807,87.2327205,1.02989541,4,3660.31959,8.327485701,9,5,42.16717024,297.883508,53.30594719,3
21-07-2025,277.1280022,67.09760491,0.848957304,4,4497.774129,6.303205377,2,2,72.01874931,182.1158131,75.43360192,2
22-07-2025,226.8291154,87.22791211,0.534800971,5,7340.570212,6.066644253,6,7,90.15731099,138.0164695,63.37376241,4
23-07-2025,226.7135123,110.7607313,1.020568892,5,5192.8265,6.466767039,13,6,91.40941781,192.8387946,75.70598669,5
24-07-2025,262.0981136,79.28347922,0.681308886,3,5824.364518,8.428016641,2,0,76.49803586,173.260317,62.36740843,1
25-07-2025,154.3359878,111.2928731,1.142077729,4,3093.69229,9.178825371,12,2,108.685498,166.741824,51.95117899,4
26-07-2025,163.7541084,27.60509792,0.72417273,1,8583.553936,7.543020868,12,3,57.97138712,216.850002,53.72457562,3
27-07-2025,221.8856235,96.43805009,1.464980322,5,7765.120637,7.871971201,1,1,85.72861545,225.4504626,70.48084947,4
28-07-2025,199.358444,81.74094136,0.765024012,5,7045.153236,6.055448714,11,7,93.60886895,148.1699311,72.59722502,5
29-07-2025,265.7123666,74.01985299,0.903381545,1,6243.148966,8.315131975,13,7,105.433165,145.4509056,60.95683375,1
30-07-2025,204.5987962,81.83521553,1.244055165,5,5022.714917,7.827605516,9,7,111.3484463,163.4968982,76.38592459,1
31-07-2025,179.3848149,40.24862171,0.630740705,3,5663.111025,5.934808063,3,5,56.26073724,41.88473012,53.38479938,5
01-08-2025,323.2824384,75.60656224,1.06823798,4,6572.029616,4.318492582,11,3,43.97657488,89.08853627,69.33920201,5
02-08-2025,238.711185,87.14225143,1.392142826,1,4057.145379,5.169144844,7,7,128.3303047,262.012456,57.889838,3
03-08-2025,253.3764102,109.5578809,0.51775503,4,4333.251884,5.996195908,12,3,99.96942036,278.6980628,63.48163892,1
04-08-2025,178.7625907,69.63459563,1.055390158,5,2496.301461,8.742905977,14,4,67.5454039,165.0578376,70.47398671,4
05-08-2025,222.7808638,63.83012794,1.077964838,5,3842.271383,9.329289664,8,7,136.5345593,214.5934178,61.39586635,2
06-08-2025,255.5461295,69.96485913,1.234546862,1,7491.952596,6.340723187,6,1,93.47023903,198.6750093,66.15444456,2
07-08-2025,192.4503211,98.30804235,0.628914787,3,4498.629363,6.388126971,0,3,125.3789155,364.7328485,80.06292809,5
08-08-2025,268.7849009,86.57502219,0.603863016,2,4523.22964,7.392434584,2,3,92.02555444,247.1744947,64.2310813,3
09-08-2025,219.9680655,69.40479592,1.15658247,1,5476.650549,7.018219764,12,1,151.8224377,172.3249445,78.35692112,2
10-08-2025,235.4153125,90.26534866,1.089095402,2,2581.659039,8.396401126,11,7,142.6602253,122.6675736,58.70293145,1
11-08-2025,219.9146694,81.94155099,1.075147855,2,6418.072535,6.21521786,13,1,82.53107555,83.61322078,75.29804178,5
12-08-2025,342.6139092,99.37289981,1.103934463,3,6899.610283,8.423714482,8,3,119.1471285,192.2078182,84.41568621,4
13-08-2025,249.3251388,65.95893812,0.795992584,2,5565.944398,6.641162803,14,1,109.3612785,134.6189553,50,5
14-08-2025,197.1144536,73.44675707,1.069676109,2,7477.02648,8.280962067,11,3,131.0589467,94.66477742,62.03104745,4
